 Variables , Total 
 1985 1Q ,31.314
 1985 2Q ,22.595
 1985 3Q ,22.329
 1985 4Q ,23.726
 1986 1Q ,24.415
 1986 2Q ,20.434
 1986 3Q ,21.064
 1986 4Q ,22.863
 1987 1Q ,25.483
 1987 2Q ,26.184
 1987 3Q ,27.555
 1987 4Q ,30.404
 1988 1Q ,32.267
 1988 2Q ,31.169
 1988 3Q ,33.608
 1988 4Q ,39.98
 1989 1Q ,40.9
 1989 2Q ,34.489
 1989 3Q ,36.206
 1989 4Q ,40.909
 1990 1Q ,43.483
 1990 2Q ,37.385
 1990 3Q ,34.803
 1990 4Q ,40.145
 1991 1Q ,38.882
 1991 2Q ,37.197
 1991 3Q ,38.263
 1991 4Q ,43.623
 1992 1Q ,43.921
 1992 2Q ,42.947
 1992 3Q ,42.565
 1992 4Q ,43.908
 1993 1Q ,47.965
 1993 2Q ,43.394
 1993 3Q ,44.196
 1993 4Q ,46.776
 1994 1Q ,52.225
 1994 2Q ,38.579
 1994 3Q ,42.945
 1994 4Q ,45.872
 1995 1Q ,47.494
 1995 2Q ,43.12
 1995 3Q ,45.482
 1995 4Q ,48.232
 1996 1Q ,48.872
 1996 2Q ,44.325
 1996 3Q ,45.596
 1996 4Q ,50.916
 1997 1Q ,48.957
 1997 2Q ,45.876
 1997 3Q ,48.451
 1997 4Q ,46.282
 1998 1Q ,44.191
 1998 2Q ,45.196
 1998 3Q ,42.8
 1998 4Q ,46.092
 1999 1Q ,46.791
 1999 2Q ,49.718
 1999 3Q ,53.654
 1999 4Q ,57.068
 2000 1Q ,60.152
 2000 2Q ,63.808
 2000 3Q ,66.14
 2000 4Q ,69.641
 2001 1Q ,73.579
 2001 2Q ,69.516
 2001 3Q ,67.408
 2001 4Q ,70.68
 2002 1Q ,71.263
 2002 2Q ,65.449
 2002 3Q ,67.332
 2002 4Q ,74.325
 2003 1Q ,71.146
 2003 2Q ,72.13
 2003 3Q ,74.805
 2003 4Q ,84.534
 2004 1Q ,88.295
 2004 2Q ,82.249
 2004 3Q ,82.023
 2004 4Q ,91.234
 2005 1Q ,94.137
 2005 2Q ,90.665
 2005 3Q ,90.964
 2005 4Q ,98.936
 2006 1Q ,99.467
 2006 2Q ,98.647
 2006 3Q ,95.814
 2006 4Q ,106.817
 2007 1Q ,106.621
 2007 2Q ,106.641
 2007 3Q ,97.693
 2007 4Q ,105.104
 2008 1Q ,105.656
 2008 2Q ,103.623
 2008 3Q ,100.469
 2008 4Q ,99.437
 2009 1Q ,94.408
 2009 2Q ,91.144
 2009 3Q ,90.104
 2009 4Q ,95.428
 2010 1Q ,95.773
 2010 2Q ,85.558
 2010 3Q ,89.625
 2010 4Q ,96.037
 2011 1Q ,90.959
 2011 2Q ,91.921
 2011 3Q ,91.219
 2011 4Q ,99.97
 2012 1Q ,96.614
 2012 2Q ,92.725
 2012 3Q ,91.658
 2012 4Q ,98.875
 2013 1Q ,94.13
 2013 2Q ,93.224
 2013 3Q ,89.242
 2013 4Q ,95.361
 2014 1Q ,93.481
 2014 2Q ,88.824
 2014 3Q ,90.179
 2014 4Q ,99.228
 2015 1Q ,97.187
 2015 2Q ,95.017
 2015 3Q ,95.621
 2015 4Q ,102.753
 2016 1Q ,99.429
 2016 2Q ,96.134
 2016 3Q ,96.14
 2016 4Q ,102.92
 2017 1Q ,100.616
 2017 2Q ,96.905
 2017 3Q ,96.688
 2017 4Q ,105.791
 2018 1Q ,99.017
 2018 2Q ,97.399
 2018 3Q ,95.869
 2018 4Q ,103.473
 2019 1Q ,97.983
 2019 2Q ,92.807
 2019 3Q ,93.138
 2019 4Q ,98.45
