Variables,All Items Less Accommodation
2000 Jan,73.19
2000 Feb,73.598
2000 Mar,73.302
2000 Apr,73.426
2000 May,73.115
2000 Jun,73.256
2000 Jul,73.678
2000 Aug,74.132
2000 Sep,74.152
2000 Oct,74.173
2000 Nov,74.364
2000 Dec,74.51
2001 Jan,74.784
2001 Feb,74.619
2001 Mar,74.775
2001 Apr,75.015
2001 May,74.662
2001 Jun,74.183
2001 Jul,74.708
2001 Aug,74.657
2001 Sep,74.536
2001 Oct,74.328
2001 Nov,74.145
2001 Dec,73.965
2002 Jan,73.869
2002 Feb,74.124
2002 Mar,74.043
2002 Apr,74.182
2002 May,74.452
2002 Jun,74.398
2002 Jul,74.46
2002 Aug,74.399
2002 Sep,74.29
2002 Oct,74.292
2002 Nov,74.486
2002 Dec,74.484
2003 Jan,74.767
2003 Feb,74.607
2003 Mar,74.849
2003 Apr,75.068
2003 May,74.513
2003 Jun,74.253
2003 Jul,74.832
2003 Aug,74.935
2003 Sep,75.027
2003 Oct,75
2003 Nov,75.12
2003 Dec,75.276
2004 Jan,76.118
2004 Feb,76.228
2004 Mar,76.137
2004 Apr,76.244
2004 May,76.455
2004 Jun,76.312
2004 Jul,76.537
2004 Aug,76.423
2004 Sep,76.659
2004 Oct,76.563
2004 Nov,76.545
2004 Dec,76.319
2005 Jan,76.47
2005 Feb,76.35
2005 Mar,76.385
2005 Apr,76.62
2005 May,76.479
2005 Jun,76.238
2005 Jul,76.586
2005 Aug,77.009
2005 Sep,77.22
2005 Oct,77.493
2005 Nov,77.384
2005 Dec,77.406
2006 Jan,77.675
2006 Feb,77.369
2006 Mar,77.377
2006 Apr,77.538
2006 May,77.404
2006 Jun,77.141
2006 Jul,77.509
2006 Aug,77.551
2006 Sep,77.554
2006 Oct,77.831
2006 Nov,77.826
2006 Dec,78.086
2007 Jan,77.843
2007 Feb,77.881
2007 Mar,77.696
2007 Apr,78.029
2007 May,78.261
2007 Jun,78.443
2007 Jul,79.691
2007 Aug,79.994
2007 Sep,79.912
2007 Oct,80.694
2007 Nov,81.13
2007 Dec,82.412
2008 Jan,82.587
2008 Feb,82.824
2008 Mar,82.827
2008 Apr,83.526
2008 May,83.744
2008 Jun,83.67
2008 Jul,83.931
2008 Aug,83.957
2008 Sep,83.895
2008 Oct,84.473
2008 Nov,84.274
2008 Dec,83.764
2009 Jan,83.273
2009 Feb,82.966
2009 Mar,82.874
2009 Apr,82.34
2009 May,82.479
2009 Jun,82.604
2009 Jul,83.053
2009 Aug,83.484
2009 Sep,83.401
2009 Oct,83.843
2009 Nov,83.927
2009 Dec,83.864
2010 Jan,84.093
2010 Feb,84.547
2010 Mar,84.794
2010 Apr,85.517
2010 May,86.062
2010 Jun,85.465
2010 Jul,86.186
2010 Aug,86.601
2010 Sep,86.538
2010 Oct,86.792
2010 Nov,87.01
2010 Dec,87.465
2011 Jan,88.578
2011 Feb,88.344
2011 Mar,88.326
2011 Apr,89.093
2011 May,88.895
2011 Jun,88.89
2011 Jul,89.777
2011 Aug,90.385
2011 Sep,90.13
2011 Oct,90.322
2011 Nov,90.808
2011 Dec,91.187
2012 Jan,91.616
2012 Feb,91.16
2012 Mar,91.939
2012 Apr,92.356
2012 May,92.469
2012 Jun,92.348
2012 Jul,92.487
2012 Aug,93.086
2012 Sep,93.641
2012 Oct,93.313
2012 Nov,93.372
2012 Dec,94.151
2013 Jan,94.25
2013 Feb,95.354
2013 Mar,94.633
2013 Apr,93.47
2013 May,93.087
2013 Jun,93.274
2013 Jul,94.005
2013 Aug,94.447
2013 Sep,94.574
2013 Oct,95.175
2013 Nov,95.581
2013 Dec,95.199
2014 Jan,95.271
2014 Feb,95.259
2014 Mar,95.615
2014 Apr,95.811
2014 May,95.558
2014 Jun,95.406
2014 Jul,95.54
2014 Aug,95.788
2014 Sep,95.63
2014 Oct,95.724
2014 Nov,95.625
2014 Dec,95.56
2015 Jan,95.338
2015 Feb,95.508
2015 Mar,95.869
2015 Apr,95.865
2015 May,95.786
2015 Jun,95.73
2015 Jul,95.829
2015 Aug,95.573
2015 Sep,95.653
2015 Oct,95.612
2015 Nov,95.521
2015 Dec,95.617
2016 Jan,95.408
2016 Feb,95.354
2016 Mar,95.491
2016 Apr,95.52
2016 May,95.521
2016 Jun,95.805
2016 Jul,96.013
2016 Aug,96.253
2016 Sep,96.352
2016 Oct,96.501
2016 Nov,96.568
2016 Dec,96.86
2017 Jan,97.163
2017 Feb,97.24
2017 Mar,97.391
2017 Apr,97.828
2017 May,97.628
2017 Jun,97.48
2017 Jul,97.78
2017 Aug,97.798
2017 Sep,97.853
2017 Oct,98.062
2017 Nov,98.362
2017 Dec,98.314
2018 Jan,98.553
2018 Feb,98.765
2018 Mar,98.577
2018 Apr,98.82
2018 May,98.886
2018 Jun,98.945
2018 Jul,99.325
2018 Aug,99.373
2018 Sep,99.379
2018 Oct,99.546
2018 Nov,99.255
2018 Dec,99.376
2019 Jan,99.48
2019 Feb,99.775
2019 Mar,99.801
2019 Apr,100.302
2019 May,100.255
2019 Jun,99.881
2019 Jul,99.794
2019 Aug,100.079
2019 Sep,99.988
2019 Oct,100.204
2019 Nov,100.107
2019 Dec,100.333
2020 Jan,100.446
2020 Feb,100.083
2020 Mar,99.621
