"","RSI Chained","Tourism","CPI","IPI","ULC","AICc","CV","AdjR2"
"1",0,0,0,0,0,NA,NA,NA
"2",0,0,0,0,1,333.020580761525,12.6731402469395,-0.00603609506786418
"3",0,0,0,1,0,321.634317435366,11.495496296101,0.0777141674283908
"4",0,0,0,1,1,323.712483633373,11.8322875091578,0.0708657629212306
"5",0,0,1,0,0,322.776480498007,11.5824107929608,0.0696377828253005
"6",0,0,1,0,1,324.582960461549,11.9083820970751,0.0646712367109656
"7",0,0,1,1,0,312.528192978485,10.744452271718,0.146899841121396
"8",0,0,1,1,1,314.59125484842,11.0611703032265,0.140835191043712
"9",0,1,0,0,0,322.811663560722,11.5269996915315,0.0693878790983757
"10",0,1,0,0,1,324.78663191725,11.7938081079238,0.0632159089496179
"11",0,1,0,1,0,312.426039071118,10.6809676316296,0.147564830011346
"12",0,1,0,1,1,314.571492313484,10.9327849271645,0.140964794050416
"13",0,1,1,0,0,312.648296082215,10.6966507138261,0.146117345245173
"14",0,1,1,0,1,314.571788835044,10.9492694650736,0.140962849601966
"15",0,1,1,1,0,301.285370575004,9.83899352201948,0.223816369584679
"16",0,1,1,1,1,303.433440725822,10.0737998761186,0.217950844435233
"17",1,0,0,0,0,300.462594942393,9.84426550385899,0.21534903611473
"18",1,0,0,0,1,302.073129900534,10.0571849166811,0.212339374858268
"19",1,0,0,1,0,292.653338084738,9.2771312166127,0.266989145146793
"20",1,0,0,1,1,294.579153210284,9.50291382180146,0.262551223392124
"21",1,0,1,0,0,297.682072298166,9.57610472150573,0.238303795332892
"22",1,0,1,0,1,299.252332293658,9.77952386614303,0.235769264697752
"23",1,0,1,1,0,289.224433825404,8.9896499105893,0.292087208783078
"24",1,0,1,1,1,291.138604128509,9.20429524815604,0.288009988255422
"25",1,1,0,0,0,297.973927833434,9.61008765437896,0.236604916897723
"26",1,1,0,0,1,299.716570211834,9.79929691252808,0.233056178649538
"27",1,1,0,1,0,289.437911105266,9.00116250108669,0.290932655355289
"28",1,1,0,1,1,291.47533951478,9.19634054104347,0.286177464306773
"29",1,1,1,0,0,293.88252987701,9.26157663708329,0.266462372389556
"30",1,1,1,0,1,295.597522174424,9.44154379484158,0.263358438979578
"31",1,1,1,1,0,284.441522233129,8.62199226962238,0.323494132897101
"32",1,1,1,1,1,286.481452162649,8.80469367720575,0.31908714653152
